count,cpu_usage,memory_usage,signal
218,53,10,yes
219,94,45,yes
220,60,61,yes
221,50,16,yes
222,48,79,yes
223,34,90,yes
224,16,56,yes
225,37,55,yes
226,1,84,yes
227,9,35,yes
228,47,81,yes
229,22,33,yes
230,39,98,yes
231,46,30,yes
232,31,16,yes
233,83,50,yes
234,21,65,yes
235,55,42,yes
236,56,13,yes
237,44,98,yes
238,51,47,yes
239,51,58,yes
240,40,15,yes
241,24,60,yes
242,35,81,yes
243,85,52,yes
244,15,4,yes
245,71,38,yes
246,18,50,yes
247,49,41,yes
248,57,82,yes
249,62,27,yes
250,18,24,yes
251,85,94,yes
252,57,51,yes
253,44,29,yes
254,38,11,yes
255,65,83,yes
256,91,98,yes
257,79,86,yes
258,36,74,yes
259,90,66,yes
260,13,22,yes
261,12,53,yes
262,94,69,yes
263,85,72,yes
264,80,32,yes
265,10,97,yes
266,2,80,yes
267,1,84,yes
268,26,77,yes
269,44,73,yes
270,45,48,yes
271,5,23,yes
272,7,86,yes
273,96,92,yes
274,73,32,yes
275,92,72,yes
276,57,11,yes
277,7,90,yes
278,88,11,yes
279,73,49,yes
280,52,3,yes
281,65,34,yes
282,100,94,yes
283,56,96,yes
284,52,95,yes
285,49,92,yes
286,96,74,yes
287,28,6,yes
288,50,98,yes
289,32,3,yes
290,86,28,yes
291,87,18,yes
292,38,100,yes
293,73,34,yes
294,62,15,yes
295,88,14,yes
296,28,50,yes
297,7,81,yes
298,28,93,yes
299,34,63,yes
300,90,16,yes
301,100,95,yes
302,94,64,yes
303,93,30,yes
304,83,74,yes
305,87,14,yes
306,23,2,yes
307,77,48,yes
308,78,8,yes
309,73,53,yes
310,97,73,yes
311,29,11,yes
312,62,60,yes
313,4,84,yes
314,42,23,yes
315,32,71,yes
316,8,83,yes
317,58,50,yes
318,52,95,yes
319,89,32,yes
320,10,22,yes
321,46,36,yes
322,67,13,yes
323,5,90,yes
324,74,99,yes
325,40,79,yes
326,57,83,yes
327,58,83,yes
328,85,9,yes
329,92,69,yes
330,20,4,yes
331,80,90,yes
332,10,29,yes
333,62,88,yes
334,80,54,yes
335,45,55,yes
336,10,97,yes
337,95,36,yes
338,18,19,yes
339,79,56,yes
340,74,46,yes
341,18,38,yes
342,6,26,yes
343,26,42,yes
344,63,73,yes
345,27,20,yes
346,49,94,yes
347,85,98,yes
348,96,23,yes
349,51,30,yes
350,42,77,yes
351,64,18,yes
352,22,10,yes
353,92,69,yes
354,77,5,yes
355,23,36,yes
356,10,22,yes
357,26,73,yes
358,56,88,yes
359,72,35,yes
360,53,82,yes
361,54,72,yes
362,20,100,yes
363,2,81,yes
364,81,19,yes
365,64,86,yes
366,4,19,yes
367,59,71,yes
368,40,38,yes
369,36,64,yes
370,73,80,yes
371,82,17,yes
372,44,13,yes
373,79,100,yes
374,22,30,yes
375,21,78,yes
376,38,88,yes
377,62,14,yes
378,26,33,yes
379,56,35,yes
380,24,42,yes
381,32,69,yes
382,45,88,yes
383,37,33,yes
384,16,74,yes
385,68,26,yes
386,44,90,yes
387,98,63,yes
388,53,94,yes
389,14,22,yes
390,81,42,yes
391,33,69,yes
392,27,26,yes
393,3,28,yes
394,98,96,yes
395,92,57,yes
396,94,22,yes
397,56,41,yes
398,86,12,yes
399,5,95,yes
400,22,27,yes
401,13,91,yes
402,67,75,yes
403,60,3,yes
404,67,62,yes
405,15,32,yes
406,93,37,yes
407,2,4,no
408,11,90,yes
409,51,52,yes
410,6,69,yes
411,51,39,yes
412,77,96,yes
413,76,89,yes
414,55,96,yes
415,28,86,yes
416,10,4,no
417,4,75,yes
418,60,32,yes
419,52,58,yes
420,65,11,yes
421,74,94,yes
422,85,8,yes
423,92,29,yes
424,6,58,yes
425,37,31,yes
426,62,3,yes
427,3,56,yes
428,77,99,yes
429,21,21,yes
430,25,22,yes
431,15,29,yes
432,25,89,yes
433,4,31,yes
434,85,9,yes
435,31,34,yes
436,78,86,yes
437,40,24,yes
438,16,22,yes
439,45,67,yes
440,54,76,yes
441,45,38,yes
442,57,30,yes
443,10,20,yes
444,51,76,yes
445,100,53,yes
446,98,56,yes
447,91,81,yes
448,6,72,yes
449,70,52,yes
450,53,36,yes
451,18,84,yes
452,19,2,yes
453,48,36,yes
454,29,94,yes
455,41,14,yes
456,93,90,yes
457,20,66,yes
458,27,66,yes
459,41,3,yes
460,67,29,yes
461,17,4,yes
462,84,27,yes
463,47,14,yes
464,46,44,yes
465,41,18,yes
466,61,63,yes
467,54,62,yes
468,80,71,yes
469,96,69,yes
470,59,75,yes
471,90,55,yes
472,72,63,yes
473,90,73,yes
474,90,78,yes
475,16,40,yes
476,25,39,yes
477,60,34,yes
478,98,83,yes
479,5,4,no
480,71,46,yes
481,20,50,yes
482,93,82,yes
483,90,22,yes
484,52,28,yes
485,42,37,yes
486,60,68,yes
487,70,78,yes
488,12,51,yes
489,90,17,yes
490,19,41,yes
491,47,95,yes
492,33,12,yes
493,46,5,yes
494,10,73,yes
495,18,20,yes
496,1,62,yes
497,58,12,yes
498,71,62,yes
499,30,56,yes
500,65,43,yes
501,33,29,yes
502,8,29,yes
503,67,37,yes
504,6,78,yes
505,22,79,yes
506,75,62,yes
507,33,63,yes
508,27,39,yes
509,66,5,yes
510,14,6,yes
511,37,20,yes
512,2,76,yes
513,50,39,yes
514,47,81,yes
515,98,90,yes
516,68,78,yes
517,55,21,yes
518,75,43,yes
519,50,13,yes
520,18,15,yes
521,1,69,yes
522,87,72,yes
523,65,60,yes
524,14,87,yes
525,58,98,yes
526,35,56,yes
527,70,5,yes
528,56,27,yes
529,64,86,yes
530,99,17,yes
531,73,69,yes
532,58,45,yes
533,100,18,yes
534,62,23,yes
535,12,45,yes
536,46,29,yes
537,25,62,yes
538,29,52,yes
539,60,92,yes
540,55,10,yes
541,34,51,yes
542,22,66,yes
543,51,8,yes
544,62,70,yes
545,2,77,yes
546,10,92,yes
547,53,9,yes
548,94,16,yes
549,22,6,yes
550,50,21,yes
551,19,76,yes
552,67,13,yes
553,39,62,yes
554,41,10,yes
555,94,86,yes
556,19,24,yes
557,25,54,yes
558,39,5,yes
559,26,20,yes
560,93,64,yes
561,87,48,yes
562,59,49,yes
563,55,6,yes
564,85,58,yes
565,60,96,yes
566,57,44,yes
567,80,62,yes
568,25,44,yes
569,70,87,yes
570,24,95,yes
571,33,64,yes
572,88,44,yes
573,91,21,yes
574,19,48,yes
575,3,42,yes
576,5,44,yes
577,56,94,yes
578,21,46,yes
579,86,78,yes
580,67,40,yes
581,31,98,yes
582,97,56,yes
583,57,16,yes
584,69,29,yes
585,78,25,yes
586,12,55,yes
587,13,78,yes
588,30,19,yes
589,83,81,yes
590,70,29,yes
591,49,70,yes
592,67,85,yes
593,53,90,yes
594,19,79,yes
595,42,58,yes
596,18,23,yes
597,16,11,yes
598,39,82,yes
599,4,98,yes
600,98,52,yes
601,74,32,yes
602,43,64,yes
603,50,65,yes
604,96,28,yes
605,51,78,yes
606,5,94,yes
607,44,27,yes
608,91,39,yes
609,20,46,yes
610,22,5,yes
611,15,90,yes
612,64,1,yes
613,97,1,yes
614,81,59,yes
615,60,21,yes
616,9,83,yes
617,54,95,yes
618,68,92,yes
619,87,63,yes
620,18,19,yes
621,74,38,yes
622,15,53,yes
623,45,24,yes
624,49,26,yes
625,22,71,yes
626,58,61,yes
627,5,86,yes
628,88,42,yes
629,96,86,yes
630,18,94,yes
631,18,79,yes
632,47,85,yes
633,26,8,yes
634,1,57,yes
635,74,11,yes
636,8,80,yes
637,18,3,yes
638,74,61,yes
639,57,54,yes
640,12,68,yes
641,84,32,yes
642,17,39,yes
643,91,92,yes
644,16,67,yes
645,55,9,yes
646,68,25,yes
647,85,6,yes
648,43,2,yes
649,57,46,yes
650,23,64,yes
651,4,19,yes
652,86,43,yes
653,68,3,yes
654,87,51,yes
655,66,80,yes
656,10,52,yes
657,11,34,yes
658,6,46,yes
659,64,25,yes
660,25,87,yes
661,60,45,yes
662,67,20,yes
663,58,72,yes
664,95,60,yes
665,63,71,yes
666,51,6,yes
667,57,37,yes
668,8,89,yes
669,48,24,yes
670,62,23,yes
671,20,40,yes
672,51,53,yes
673,76,77,yes
674,16,33,yes
675,42,85,yes
676,18,89,yes
677,16,71,yes
678,11,58,yes
679,34,44,yes
680,38,96,yes
681,66,50,yes
682,2,44,yes
683,51,90,yes
684,63,23,yes
685,11,85,yes
686,18,70,yes
687,52,26,yes
688,63,31,yes
689,33,82,yes
690,34,81,yes
691,19,89,yes
692,99,43,yes
693,68,41,yes
694,50,12,yes
695,72,56,yes
696,83,84,yes
697,98,98,yes
698,31,24,yes
699,13,78,yes
700,39,74,yes
701,6,59,yes
702,25,78,yes
703,77,46,yes
704,60,45,yes
705,14,83,yes
706,51,45,yes
707,85,22,yes
708,64,27,yes
709,47,25,yes
710,94,64,yes
711,1,76,yes
712,84,15,yes
713,17,41,yes
714,100,94,yes
715,79,30,yes
716,89,45,yes
717,48,85,yes
718,30,80,yes
719,46,52,yes
720,64,87,yes
721,4,86,yes
722,33,54,yes
723,41,84,yes
724,4,2,no
725,34,16,yes
726,68,92,yes
727,13,69,yes
728,94,17,yes
729,3,61,yes
730,37,35,yes
731,18,30,yes
732,47,72,yes
733,46,43,yes
734,100,52,yes
735,100,10,yes
736,85,95,yes
737,68,45,yes
738,9,5,no
739,35,75,yes
740,34,66,yes
741,30,77,yes
742,52,38,yes
743,22,26,yes
744,53,94,yes
745,18,68,yes
746,49,57,yes
747,29,17,yes
748,100,3,yes
749,35,35,yes
750,24,76,yes
751,83,35,yes
752,49,81,yes
753,59,5,yes
754,75,48,yes
755,16,63,yes
756,27,55,yes
757,61,81,yes
758,16,14,yes
759,67,70,yes
760,74,68,yes
761,48,3,yes
762,9,2,no
763,59,32,yes
764,54,39,yes
765,51,57,yes
766,49,28,yes
767,94,39,yes
768,21,96,yes
769,61,99,yes
770,3,18,yes
771,50,60,yes
772,44,72,yes
773,4,67,yes
774,58,63,yes
775,62,96,yes
776,40,7,yes
777,16,9,yes
778,97,16,yes
779,32,39,yes
780,92,87,yes
781,59,27,yes
782,82,3,yes
783,27,66,yes
784,2,75,yes
785,79,24,yes
786,84,77,yes
787,84,75,yes
788,2,68,yes
789,97,92,yes
790,73,26,yes
791,97,10,yes
792,9,98,yes
793,71,11,yes
794,67,44,yes
795,52,67,yes
796,83,82,yes
797,21,75,yes
798,63,49,yes
799,45,100,yes
800,2,1,no
801,52,66,yes
802,53,49,yes
803,71,69,yes
804,79,46,yes
805,5,13,yes
806,37,97,yes
807,56,60,yes
808,44,85,yes
809,89,89,yes
810,38,80,yes
811,64,85,yes
812,6,73,yes
813,15,92,yes
814,33,7,yes
815,54,2,yes
816,14,74,yes
817,38,88,yes
818,46,84,yes
819,36,12,yes
820,98,91,yes
821,34,39,yes
822,60,99,yes
823,14,48,yes
824,33,53,yes
825,69,10,yes
826,92,8,yes
827,11,36,yes
828,11,47,yes
829,31,43,yes
830,48,68,yes
831,84,94,yes
832,29,55,yes
833,64,1,yes
834,47,90,yes
835,16,21,yes
836,9,71,yes
837,52,55,yes
838,18,8,yes
839,20,19,yes
840,50,56,yes
841,33,42,yes
842,26,35,yes
843,32,71,yes
844,86,18,yes
845,30,80,yes
846,77,91,yes
847,20,94,yes
848,48,81,yes
849,35,41,yes
850,54,34,yes
851,6,37,yes
852,10,87,yes
853,53,3,yes
854,96,24,yes
855,37,58,yes
856,14,93,yes
857,78,68,yes
858,11,78,yes
859,10,56,yes
860,13,20,yes
861,78,42,yes
862,65,16,yes
863,29,14,yes
864,29,3,yes
865,20,60,yes
866,21,91,yes
867,57,82,yes
868,93,80,yes
869,4,6,no
870,59,58,yes
871,65,36,yes
872,49,74,yes
873,52,15,yes
874,67,38,yes
875,88,81,yes
876,48,10,yes
877,45,30,yes
878,52,85,yes
879,15,62,yes
880,21,12,yes
881,21,25,yes
882,3,19,yes
883,43,93,yes
884,12,35,yes
885,57,8,yes
886,31,34,yes
887,77,73,yes
888,59,52,yes
889,40,94,yes
890,71,86,yes
891,2,91,yes
892,11,55,yes
893,89,89,yes
894,4,21,yes
895,79,34,yes
896,20,84,yes
897,94,53,yes
898,97,5,yes
899,19,45,yes
900,64,2,yes
901,54,90,yes
902,17,25,yes
903,52,63,yes
904,95,22,yes
905,78,44,yes
906,80,9,yes
907,81,31,yes
908,97,49,yes
909,11,23,yes
910,80,50,yes
911,71,81,yes
912,72,20,yes
913,27,13,yes
914,14,97,yes
915,91,66,yes
916,95,33,yes
917,42,44,yes
918,27,53,yes
919,62,14,yes
920,51,90,yes
921,29,56,yes
922,4,78,yes
923,40,79,yes
924,29,84,yes
925,37,80,yes
926,52,14,yes
927,7,8,no
928,96,53,yes
929,55,3,yes
930,8,8,no
931,75,42,yes
932,87,88,yes
933,74,35,yes
934,27,9,yes
935,25,30,yes
936,7,57,yes
937,94,30,yes
938,16,54,yes
939,69,83,yes
940,97,44,yes
941,17,59,yes
942,35,10,yes
943,28,56,yes
944,86,25,yes
945,99,84,yes
946,18,42,yes
947,21,25,yes
948,77,86,yes
949,86,70,yes
950,52,87,yes
951,59,44,yes
952,90,3,yes
953,59,42,yes
954,79,3,yes
955,73,68,yes
956,48,35,yes
957,34,70,yes
958,68,4,yes
959,77,3,yes
960,70,64,yes
961,46,42,yes
962,11,17,yes
963,51,82,yes
964,99,21,yes
965,84,70,yes
966,5,98,yes
967,90,99,yes
968,2,53,yes
969,21,88,yes
970,49,93,yes
971,53,62,yes
972,25,7,yes
973,41,21,yes
974,4,2,no
975,100,96,yes
976,39,74,yes
977,31,57,yes
978,16,97,yes
979,100,35,yes
980,79,58,yes
981,91,65,yes
982,17,53,yes
983,97,40,yes
984,69,86,yes
985,2,90,yes
986,39,33,yes
987,75,53,yes
988,68,62,yes
989,18,74,yes
990,16,65,yes
991,23,64,yes
992,16,44,yes
993,21,25,yes
994,98,62,yes
995,49,95,yes
996,97,68,yes
997,99,65,yes
998,3,13,yes
999,40,25,yes
1000,44,53,yes
1001,19,80,yes
1002,70,93,yes
1003,77,78,yes
1004,95,2,yes
1005,22,50,yes
1006,2,69,yes
1007,35,40,yes
1008,51,25,yes
1009,99,20,yes
1010,28,31,yes
1011,94,16,yes
1012,68,6,yes
1013,96,79,yes
1014,58,36,yes
1015,85,36,yes
1016,48,70,yes
1017,51,49,yes
1018,73,21,yes
1019,58,21,yes
1020,42,21,yes
1021,78,83,yes
1022,71,85,yes
1023,98,75,yes
1024,43,72,yes
1025,74,85,yes
1026,95,42,yes
1027,71,48,yes
1028,44,42,yes
1029,75,52,yes
1030,82,24,yes
1031,25,37,yes
1032,58,72,yes
1033,75,80,yes
1034,90,91,yes
1035,54,44,yes
1036,98,61,yes
1037,61,17,yes
1038,78,12,yes
1039,53,2,yes
1040,41,98,yes
1041,39,12,yes
1042,78,14,yes
1043,41,63,yes
1044,11,70,yes
1045,77,42,yes
1046,19,41,yes
1047,36,54,yes
1048,35,11,yes
1049,85,83,yes
1050,28,48,yes
1051,57,30,yes
1052,84,29,yes
1053,88,45,yes
1054,27,77,yes
1055,22,64,yes
1056,18,48,yes
1057,35,95,yes
1058,35,19,yes
1059,69,14,yes
1060,7,23,yes
1061,61,40,yes
1062,7,78,yes
1063,10,60,yes
1064,54,61,yes
1065,31,51,yes
1066,9,22,yes
1067,89,48,yes
1068,6,15,yes
1069,85,45,yes
1070,26,54,yes
1071,85,3,yes
1072,90,40,yes
1073,62,6,yes
1074,18,81,yes
1075,10,18,yes
1076,89,76,yes
1077,17,14,yes
1078,27,6,yes
1079,90,31,yes
1080,95,8,yes
1081,12,36,yes
1082,4,24,yes
1083,66,29,yes
1084,61,7,yes
1085,36,48,yes
1086,71,62,yes
1087,38,33,yes
1088,51,79,yes
1089,61,36,yes
1090,34,88,yes
1091,52,87,yes
1092,31,22,yes
1093,40,38,yes
1094,30,71,yes
1095,24,73,yes
1096,12,75,yes
1097,53,26,yes
1098,68,63,yes
1099,97,7,yes
1100,56,31,yes
1101,17,61,yes
1102,41,1,yes
1103,21,21,yes
1104,70,46,yes
1105,67,68,yes
1106,87,60,yes
1107,34,96,yes
1108,20,10,yes
1109,91,34,yes
1110,60,58,yes
1111,70,70,yes
1112,76,62,yes
1113,25,27,yes
1114,58,19,yes
1115,43,45,yes
1116,27,4,yes
1117,52,99,yes
1118,64,65,yes
1119,80,46,yes
1120,55,33,yes
1121,23,90,yes
1122,79,17,yes
1123,44,98,yes
1124,40,86,yes
1125,67,53,yes
1126,50,52,yes
1127,90,12,yes
1128,31,58,yes
1129,63,62,yes
1130,56,22,yes
1131,72,48,yes
1132,43,15,yes
1133,51,78,yes
1134,32,73,yes
1135,54,70,yes
1136,1,46,yes
1137,88,67,yes
1138,31,100,yes
1139,17,43,yes
1140,59,12,yes
1141,67,61,yes
1142,2,45,yes
1143,73,75,yes
1144,35,79,yes
1145,84,23,yes
1146,10,42,yes
1147,36,65,yes
1148,1,50,yes
1149,11,12,yes
1150,56,70,yes
1151,85,63,yes
1152,100,40,yes
1153,98,25,yes
1154,91,17,yes
1155,100,35,yes
1156,91,95,yes
1157,9,99,yes
1158,39,2,yes
1159,97,44,yes
1160,35,30,yes
1161,13,50,yes
1162,29,73,yes
1163,53,20,yes
1164,1,32,yes
1165,78,45,yes
1166,99,79,yes
1167,97,15,yes
1168,21,86,yes
1169,86,76,yes
1170,86,17,yes
1171,49,6,yes
1172,75,44,yes
1173,17,89,yes
1174,54,7,yes
1175,87,63,yes
1176,64,30,yes
1177,33,83,yes
1178,95,84,yes
1179,19,3,yes
1180,30,25,yes
1181,29,10,yes
1182,49,62,yes
1183,48,42,yes
1184,91,3,yes
1185,25,42,yes
1186,51,91,yes
1187,59,47,yes
1188,19,97,yes
1189,93,61,yes
1190,61,99,yes
1191,72,22,yes
1192,83,10,yes
1193,51,58,yes
1194,91,63,yes
1195,47,61,yes
1196,93,42,yes
1197,14,69,yes
1198,79,68,yes
1199,82,63,yes
1200,43,53,yes
1201,27,20,yes
1202,14,31,yes
1203,51,82,yes
1204,62,28,yes
1205,74,44,yes
1206,11,6,yes
1207,31,56,yes
1208,73,72,yes
1209,44,85,yes
1210,57,50,yes
1211,74,73,yes
1212,44,70,yes
1213,1,86,yes
1214,25,66,yes
1215,88,90,yes
1216,91,59,yes
1217,3,58,yes
1218,55,58,yes
1219,74,6,yes
1220,32,61,yes
1221,5,30,yes
1222,73,18,yes
1223,77,83,yes
1224,87,92,yes
1225,89,67,yes
1226,3,80,yes
1227,61,38,yes
1228,34,74,yes
1229,57,93,yes
1230,20,45,yes
1231,94,85,yes
1232,100,19,yes
1233,64,77,yes
1234,3,89,yes
1235,30,1,yes
1236,25,36,yes
1237,22,38,yes
1238,75,27,yes
1239,78,81,yes
1240,65,23,yes
1241,23,92,yes
1242,28,7,yes
1243,99,69,yes
1244,43,91,yes
1245,25,1,yes
1246,71,20,yes
1247,58,62,yes
1248,100,61,yes
1249,65,32,yes
1250,91,42,yes
1251,64,62,yes
1252,20,22,yes
1253,1,19,yes
1254,82,13,yes
1255,1,98,yes
1256,5,41,yes
1257,33,21,yes
1258,3,69,yes
1259,78,50,yes
1260,25,65,yes
1261,23,13,yes
1262,32,70,yes
1263,99,73,yes
1264,52,83,yes
1265,1,27,yes
1266,19,60,yes
1267,13,12,yes
1268,29,74,yes
1269,48,12,yes
1270,56,52,yes
1271,55,41,yes
1272,55,58,yes
1273,43,22,yes
1274,88,56,yes
1275,27,51,yes
1276,14,82,yes
1277,20,58,yes
1278,39,68,yes
1279,82,84,yes
1280,60,82,yes
1281,62,60,yes
1282,34,77,yes
1283,91,69,yes
1284,75,11,yes
1285,70,29,yes
1286,8,22,yes
1287,48,57,yes
1288,74,86,yes
1289,100,91,yes
1290,45,38,yes
1291,29,41,yes
1292,18,45,yes
1293,91,52,yes
1294,83,33,yes
1295,81,56,yes
1296,61,79,yes
1297,89,40,yes
1298,28,3,yes
1299,45,93,yes
1300,33,90,yes
1301,94,43,yes
1302,26,28,yes
1303,94,73,yes
1304,89,11,yes
1305,80,94,yes
1306,61,44,yes
1307,73,74,yes
1308,25,26,yes
1309,86,39,yes
1310,28,92,yes
1311,1,25,yes
1312,29,12,yes
1313,14,62,yes
1314,30,99,yes
1315,86,54,yes
1316,28,2,yes
1317,98,56,yes
1318,45,100,yes
1319,81,13,yes
1320,90,98,yes
1321,5,56,yes
1322,4,50,yes
1323,88,87,yes
1324,38,56,yes
1325,50,30,yes
1326,73,50,yes
1327,93,65,yes
1328,58,82,yes
1329,37,32,yes
1330,82,61,yes
1331,55,69,yes
1332,27,54,yes
1333,16,35,yes
1334,76,68,yes
1335,20,71,yes
1336,11,69,yes
1337,87,30,yes
1338,58,53,yes
1339,95,88,yes
1340,85,31,yes
1341,45,52,yes
1342,26,20,yes
1343,28,53,yes
1344,12,41,yes
1345,81,36,yes
1346,60,77,yes
1347,13,38,yes
1348,51,99,yes
1349,35,53,yes
1350,64,40,yes
1351,11,63,yes
1352,84,31,yes
1353,60,1,yes
1354,38,94,yes
1355,44,1,yes
1356,77,35,yes
1357,5,78,yes
1358,38,56,yes
1359,44,56,yes
1360,17,56,yes
1361,100,98,yes
1362,84,48,yes
1363,68,28,yes
1364,14,64,yes
1365,48,67,yes
1366,12,65,yes
1367,68,54,yes
1368,36,70,yes
1369,3,58,yes
1370,53,54,yes
1371,70,61,yes
1372,38,33,yes
1373,94,77,yes
1374,91,44,yes
1375,93,18,yes
1376,88,33,yes
1377,28,3,yes
1378,16,36,yes
1379,26,79,yes
1380,96,80,yes
1381,27,89,yes
1382,8,25,yes
1383,73,94,yes
1384,35,85,yes
1385,18,95,yes
1386,67,53,yes
1387,89,20,yes
1388,45,40,yes
1389,12,37,yes
1390,77,39,yes
1391,97,82,yes
1392,10,24,yes
1393,44,93,yes
1394,83,70,yes
1395,69,3,yes
1396,64,14,yes
1397,40,69,yes
1398,98,35,yes
1399,94,47,yes
1400,79,46,yes
1401,48,48,yes
1402,84,2,yes
1403,86,59,yes
1404,70,17,yes
1405,45,97,yes
1406,16,3,yes
1407,25,68,yes
1408,22,54,yes
1409,94,25,yes
1410,76,47,yes
1411,29,7,yes
1412,64,81,yes
1413,72,31,yes
1414,72,58,yes
1415,23,100,yes
1416,39,89,yes
1417,73,30,yes
1418,28,14,yes
1419,83,3,yes
1420,82,91,yes
1421,100,11,yes
1422,68,15,yes
1423,4,15,yes
1424,83,66,yes
1425,12,45,yes
1426,86,30,yes
1427,64,73,yes
1428,87,11,yes
1429,35,100,yes
1430,22,86,yes
1431,4,18,yes
1432,10,99,yes
1433,51,25,yes
1434,57,6,yes
1435,15,82,yes
1436,92,59,yes
1437,12,79,yes
1438,48,44,yes
1439,73,21,yes
1440,34,63,yes
1441,18,55,yes
1442,1,89,yes
1443,31,50,yes
1444,88,21,yes
1445,7,42,yes
1446,60,74,yes
1447,14,60,yes
1448,54,23,yes
1449,36,85,yes
1450,48,5,yes
1451,71,56,yes
1452,57,72,yes
1453,71,70,yes
1454,2,61,yes
1455,50,20,yes
1456,13,45,yes
1457,68,13,yes
1458,81,52,yes
1459,4,56,yes
1460,87,98,yes
1461,30,80,yes
1462,23,56,yes
1463,95,55,yes
1464,4,33,yes
1465,56,20,yes
1466,48,62,yes
1467,37,87,yes
1468,33,79,yes
1469,70,66,yes
1470,31,3,yes
1471,35,76,yes
1472,42,4,yes
1473,68,78,yes
1474,52,96,yes
1475,9,90,yes
1476,39,74,yes
1477,54,30,yes
1478,100,91,yes
1479,27,22,yes
1480,74,14,yes
1481,29,60,yes
1482,49,28,yes
1483,86,27,yes
1484,19,13,yes
1485,83,1,yes
1486,68,44,yes
1487,73,70,yes
1488,17,88,yes
1489,84,20,yes
1490,60,44,yes
1491,11,42,yes
1492,76,28,yes
1493,11,96,yes
1494,20,13,yes
1495,61,54,yes
1496,79,49,yes
1497,56,1,yes
